FID_grid,Longitude,Latitude,Samara species richness,Woody samara species richness,Herb samara species richness,Total species,Precentage of total samara,Precentage of woody samara,Precentage of herb samara,Altitude,TOP,ARI,MAT,MDR,TS,TWarmQ,MTCQ,AP,PS,PWQ,PDQ,AMeanW,AMaxW,AMinW
920,116.4303589,48.20215225,3,0,3,216,0.013888889,0,0.015625,642.6724,69.3818,0.107778809,1.183333333,12.65,1533.745169,19.55,-18.35,218,120.4356585,153,6,3.741666635,5,3.099999905
921,117.3486633,48.15546417,3,0,3,216,0.013888889,0,0.015625,595.3813,32.1315,0.025849487,0.445833333,13.00833333,1612.896122,19.48333333,-20.33333333,249,124.9151522,178,6,3.541666647,4.800000191,3
922,119.0502396,48.01425934,2,0,2,162,0.012345679,0,0.013605442,729.6308,66.4629,0.018291748,-0.85,13.65,1623.665886,18.01666667,-22,317,118.2895323,218,10,3.116666675,4.400000095,2.299999952
923,120.0137558,47.78075027,3,0,3,197,0.015228426,0,0.016666667,1034.9305,172.3575,0.867236572,-3.825,13.41666667,1539.292193,14.1,-23.8,462,106.9417812,302,18,3.349999984,4.699999809,2.599999905
924,121.3211288,47.63670349,15,5,10,424,0.035377358,0.078125,0.027777778,895.7204,223.6052,1.081998779,-0.8,12.45,1466.439721,16.4,-19.75,473,116.528588,327,13,3.12499996,4.300000191,2.5
925,122.6275253,47.48332214,5,1,4,291,0.017182131,0.029411765,0.015564202,350.9602,137.4402,0.322096436,2.533333333,11.85,1468.933338,19.78333333,-16.48333333,435,123.9796971,311,7,3.058333317,4.199999809,2.5
926,123.9277802,47.31839752,0,0,0,26,0,NA,0,150.1553,9.0658,0.008385864,3.6,10.51666667,1509.929258,21.28333333,-16.08333333,428,120.5775413,296,8,3.324999988,4.599999905,2.5
927,125.2214966,47.14203644,8,2,6,187,0.042780749,0.08,0.037037037,170.5244,27.1788,0.002888199,2.941666667,11.78333333,1552.991005,20.98333333,-17.48333333,452,120.0353076,309,8,3.558333357,4.900000095,2.700000048
928,126.5082932,46.95434952,3,1,2,194,0.015463918,0.090909091,0.010928962,184.8115,33.459,0.123694839,2.495833333,11.725,1578.443506,20.71666667,-18.38333333,521,113.0859608,347,10,3.591666659,5,2.700000048
929,127.7877808,46.75544739,4,3,1,67,0.059701493,0.2,0.019230769,248.0363,102.292,0.019211853,1.9875,12.425,1573.649674,20.05,-18.91666667,599,107.5696779,387,15,3.466666639,4.699999809,2.799999952
930,129.0596161,46.54545212,4,3,1,86,0.046511628,0.1875,0.014285714,370.2044,218.7383,1.36763269,0.370833333,12.675,1553.887293,18.28333333,-20.2,659,103.5201495,415,19,3.924999972,4.800000191,3
931,130.3234406,46.32448959,9,4,5,282,0.031914894,0.102564103,0.020491803,193.3466,90.5244,0.020769318,3.341666667,11.83333333,1493.80818,20.58333333,-16.35,552,98.92010139,336,19,3.575000028,4.300000191,2.700000048
932,131.5789337,46.0926857,10,10,0,150,0.066666667,0.263157895,0,249.1995,110.5354,0.61278566,2.908333333,11.23333333,1447.155255,19.63333333,-16.11666667,563,95.71196967,334,19,3.449999988,4.099999905,2.599999905
933,132.8257904,45.85017014,22,12,10,400,0.055,0.214285714,0.029069767,104.6929,74.5906,0.002,3.5875,10.59166667,1453.483472,20.23333333,-15.68333333,564,84.56306262,304,23,2.883333365,3.5,2.299999952
934,86.52099609,48.20790863,24,8,16,545,0.044036697,0.1,0.034408602,970.1461,562.0751,0.801619995,3.704166667,11.30833333,1350.912921,19.33333333,-13.76666667,216,41.4387707,81,25,2.691666643,3.299999952,2.299999952
935,87.69520569,48.3923912,28,9,19,1120,0.025,0.051724138,0.020084567,2067.93,536.3891,0.879204712,-2.308333333,11.41666667,1206.855104,12.05,-17.5,246,66.57647171,120,21,2.333333323,3.299999952,1.600000024
936,116.4973679,48.96614456,3,0,3,216,0.013888889,0,0.015625,715.9594,72.2849,0.19178595,-0.2,12.81666667,1565.337605,18.55,-20.08333333,257,123.8328133,184,6,3.766666651,5.099999905,3.099999905
937,117.5373993,48.92453384,3,0,3,216,0.013888889,0,0.015625,580.7608,59.5428,0,-0.116666667,13.03333333,1660.359125,19.43333333,-21.5,282,130.0169195,207,6,3.491666675,4.800000191,2.799999952
938,118.8772278,48.80427551,2,1,1,106,0.018867925,0.1,0.010416667,672.6181,49.863,0.182911011,-1.075,13.15,1660.875317,18.23333333,-22.71666667,325,121.3667194,229,10,3.12500004,4.400000095,2.299999952
939,120.2119904,48.6720047,4,2,2,176,0.022727273,0.086956522,0.013071895,817.3218,120.2526,0.324729492,-1.875,12.83333333,1580.416372,16.5,-22.46666667,411,113.7025996,280,14,2.958333313,4.199999809,2.200000048
940,121.5412369,48.52780914,18,10,8,694,0.025936599,0.102040816,0.013445378,909.5936,170.2553,0.237389465,-2.1125,12.25833333,1459.659246,15.06666667,-20.88333333,497,118.0450817,345,13,3.016666691,4.199999809,2.400000095
941,122.8645172,48.37179184,2,0,2,47,0.042553191,0,0.052631579,482.7123,161.6099,0.549491821,0.891666667,12.81666667,1489.416959,18.31666667,-18.43333333,471,121.7519638,331,10,2.891666671,4.099999905,2.200000048
942,124.1814194,48.2040596,9,0,9,187,0.048128342,0,0.06122449,212.6455,52.3533,0.002522339,2.075,12.5,1556.330912,20.16666667,-18.31666667,458,119.8168667,315,9,3.033333341,4.300000191,2.099999905
943,125.4915161,48.02471924,3,0,3,106,0.028301887,0,0.030612245,247.2792,47.0171,0.159658813,1.416666667,12.06666667,1588.352968,19.8,-19.5,488,118.3320226,331,10,3.358333309,4.699999809,2.400000095
944,126.7944107,47.83389664,14,7,7,293,0.04778157,0.2,0.027131783,263.0068,50.9062,0.106817413,1.25,11.93333333,1596.318207,19.65,-19.85,543,110.8667854,357,11,3.366666635,4.699999809,2.400000095
945,128.0897217,47.63170624,5,5,0,71,0.070422535,0.333333333,0,379.445,112.8612,0.35270343,0.308333333,12.91666667,1584.904404,18.51666667,-20.66666667,638,106.9978351,411,17,3.358333369,4.5,2.599999905
946,129.3770905,47.41827774,0,0,0,0,NA,NA,NA,437.7271,176.4309,0.522179718,1.329166667,12.99166667,1566.938907,19.3,-19.41666667,627,104.1104987,395,19,3.358333349,4.300000191,2.700000048
947,130.6561279,47.19374466,4,1,3,124,0.032258065,0.066666667,0.027522936,105.4217,56.0678,0.001798935,2.958333333,11.6,1521.82282,20.51666667,-17.08333333,566,97.2740766,340,20,3.150000036,3.900000095,2.5
948,131.9265289,46.95824432,1,1,0,91,0.010989011,0.076923077,0,70.0316,32.3483,0.003772888,3.241666667,10.33333333,1506.75273,20.6,-16.61666667,535,94.61476063,313,18,3.158333341,3.700000048,2.5
949,133.1879425,46.71191025,10,8,2,148,0.067567568,0.228571429,0.017699115,140.9693,112.9602,0.431094017,2.6375,10.70833333,1522.630984,20.05,-17.56666667,595,84.99115265,325,26,2.800000012,3.299999952,2.200000048
